INFO  - 2016-05-13 10:57:57.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-05-13 10:57:57.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2016-05-13 10:57:57.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.843; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2016-05-13 10:57:57.843; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2016-05-13 10:57:57.843; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2016-05-13 10:57:57.844; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.844; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
